jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
85,497,14539,0,1971539,11239,248,3966.9,1371258,9508,14262,1952100,191935287,447876713,40823,0,0,0,2349137920,0,103795,101128,237,1279287117,31333,22515771875,0,23795058992,37834101488,695040496,21899
73,621,14453,0,1757223,9813,670,2829.7,1133765,7059,15388,1734703,142824518,334322022,41643,0,0,0,654376960,19,23030,2404,1191,43555075,213369,7505132885,0,7548687960,14720654353,439927701,12996
123,798,14445,0,1047313,2230,618,1312.4,875954,5247,10297,1029012,0,0,14897,0,0,0,318832640,30,15320,677,5006,49161315,887923,8769771777,0,8818933092,10046493193,247163783,14402
122,800,14417,0,1492965,2499,1158,1866.2,1261537,4105,9784,1474937,0,0,21427,0,0,0,344064000,81,11679,5209,5356,132415941,954627,23458245842,0,23590661783,4347114303,247163783,9803
103,50,14002,0,16160,496,240,323.2,2849,150,287,15645,381702,5000,146,0,0,0,67141632,0,2941,0,0,0,0,0,0,0,355272,5000,23
104,1,13930,0,438,438,438,438.0,106,3,4,431,7749,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,37994,731,3
112,800,13916,0,3783464,6591,2311,4729.3,3031545,3597,14726,3756138,0,0,119873,0,0,0,637665280,84,8040,4263,6369,328212480,1141803,58626320623,0,58954533103,26995094970,1150017784,29667
101,400,13670,0,251476,830,437,628.7,63750,908,2887,246370,5861590,3000000,2273,0,0,0,67239936,1,2983,0,0,0,0,0,0,0,46234529,3000000,1559
132,417,13094,0,603374,6109,243,1446.9,490997,3394,9866,589010,0,0,9272,0,0,0,805371904,0,18917,295,4021,25802640,637488,4562364071,0,4588166711,3526485325,247163783,4727
124,799,12999,0,863958,1772,503,1081.3,703294,5359,9184,846641,0,0,13014,0,0,0,251723776,32,15319,458,5029,36173871,887900,6390338647,0,6426512518,4587811439,247163783,10123
67,621,12914,0,2271659,9813,1564,3658.1,1495558,8674,25326,2227339,142824518,334321996,52367,0,0,0,1107361792,21,22600,83026,1113,76060601,200487,14172304720,0,14248365321,31977100487,581485779,26353
133,434,12512,0,831164,8540,373,1915.1,723618,3715,9392,818038,0,0,12635,0,0,0,1409351680,1,18958,509,3790,47745206,637719,8417982070,0,8465727276,11329326089,247163783,9813
134,487,12485,0,563097,5708,276,1156.3,491391,3457,7165,551915,0,0,7501,0,0,0,805371904,3,18917,402,3974,17695220,638332,3138539916,0,3156235136,4561831809,247163783,5657
66,530,12410,0,752736,10904,341,1420.3,571498,5698,9526,737360,49127553,113554717,12939,0,0,0,553713664,14,23365,1643,1028,20174549,197692,4059388225,0,4079562774,4579270343,213087372,5880
70,532,12390,0,967906,10904,648,1819.4,720135,5020,10514,951350,49727868,113594722,13083,0,0,0,494993408,54,23030,2007,1231,43538904,218609,7178253449,0,7221792353,6512279066,206452686,8214
125,799,11906,0,1024998,2224,422,1282.9,863073,5599,10266,1005509,0,0,13881,0,0,0,318832640,2,15319,568,5040,41325799,887889,7317534633,0,7358860432,8465218792,247163783,12839
94,1044,11901,0,5671274,11802,197,5432.3,3483954,5223,12658,5627228,1074108889,2500000000,140175,0,0,0,335544320,0,2942,0,0,0,0,0,0,0,80800839341,2500000000,59195
72,239,11832,0,546229,10904,509,2285.5,327194,2269,5426,537864,37653517,87043617,14599,0,0,0,470122496,213,23029,1664,1226,2674556,211414,439786226,0,442460782,2046529055,87052031,1317
